url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,source_domain
https://jp.reuters.com/world/security/WVYU55W2PFJMHMPSYZ66WLF7LI-2026-03-24/,,イラン 、 イスラエルにミサイル攻撃 トランプ氏の 「 交渉 」 主張一蹴,20260324T060000Z,https://www.reuters.com/resizer/v2/XWFN3VIOPJKWROIF7L3NWL2PLQ.jpg?auth=69563c2d6f39dd631d18d6f1ce3c9d45ab06c8ee2e9bd025557cd6d679608d93&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
https://jp.reuters.com/world/security/WUHJ5DZK3RK2ZLJBXXZ2METOJA-2026-03-19/,,イランが戦争にクラスター弾投入 、 イスラエルの防衛試練に,20260319T083000Z,https://www.reuters.com/resizer/v2/BWCD7HFCK5NLXKKSCUVOJQ6XKA.jpg?auth=7b7c89fc6aa717fd34ad360cf11ee4a9872e699067ea5cb0dbfaf48ee2bdb5ec&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
https://jp.reuters.com/world/security/SLPCXHLWEJKILP4CEPWJVMQXZE-2026-03-13/,,イラン戦争開始から2週間 、 双方が徹底抗戦の姿勢 死者2000人超,20260313T031500Z,https://www.reuters.com/resizer/v2/WDWAWGVQXFL6DEHCJJTG4BUIOA.jpg?auth=a7aa52bff31495f3b1c2bc83f2c7d6f319923cca962131049a839d5db58a8628&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
https://jp.reuters.com/world/security/T7ISV6HTF5M5XP2Y3VRCWCPNKM-2026-03-03/,,米のイラン攻撃 、 イスラエルの計画が引き金 米軍への報復阻止＝ルビオ氏,20260303T030000Z,https://www.reuters.com/resizer/v2/KHGLUEAYNBKS3G3CA5OSLYEN7E.jpg?auth=fa62930a6b45c312fee0b1c322c8586b0ab2ecd1d6ddc680060f542306b7f674&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
https://jp.reuters.com/world/security/RUFQFT4QFJPMNAHHRPTHT7LIOY-2026-03-25/,,イラン 、 米交戦終結案の精査継続 パキスタン経由で正式回答へ＝高官,20260325T184500Z,https://www.reuters.com/resizer/v2/F2BKMBEY6JLZJOV2YVVFSHTMOE.jpg?auth=503396fb85aba5a740d90a6b8accc91a03792228a86067707bd4f7da2dbec304&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
https://jp.reuters.com/world/security/DEK343GPSFLQPFEQXXZEETPBHA-2026-04-08/,,イラン 、 米国内標的に 「 持続的脅威 」 ＝ＦＢＩ報告書,20260408T083000Z,https://www.reuters.com/resizer/v2/2RMUKKS535IK3CTO55RIZNJ4SU.jpg?auth=ba85df8ed556626b573cd75e7ed0c5dc1efa0914ded1fa14d75026977c8659f5&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
https://jp.reuters.com/markets/commodities/4IPYU4UONNKPDEEOM5RPWHUCNI-2026-03-30/,,中東紛争で 「 空の過密 」 深刻化 、 欧州航空安全庁 対ドローン指針明確化へ,20260330T104500Z,https://www.reuters.com/resizer/v2/ZUQEEAECLNMAZDILUOHVT4ZPWA.jpg?auth=4e7695f8546464bda4f7988eff952c08b0fe5a631d7c1f86d60ea827f95a9506&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
https://jp.reuters.com/world/us/3AVPMN3JMVJUNI2IPI3DZZZMGA-2026-03-03/,,イラン 、 米国との交渉を否定 国連大使 「 唯一の言語は防衛 」 ,20260303T174500Z,https://www.reuters.com/resizer/v2/36AOAZSNR5N6TL6R6F7TDEUL7Y.jpg?auth=8a76a9c6cc3f8d87fd547be0eb4583900234b5458dab6c2e89f33284547e146e&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
https://jp.reuters.com/markets/japan/XFD3BYWL45OGLK6RKY72B5UFFM-2026-04-07/,,高市氏 、 イラン ・ 米双方に 「 意見言える 」 電話首脳会談に意欲,20260407T033000Z,https://www.reuters.com/resizer/v2/G6IWWHA7DBISXAIUGUI6OUWHNE.jpg?auth=34dd309b6a80eb73f6a0b02131cbf2f47a6d147778fa4e94a34a9b99b835eee8&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
https://jp.reuters.com/world/us/LQ5WWJP7RJIXBKOOLDJ62H2HGU-2026-04-07/,,トランプ氏 、 イラン攻撃 「 2週間停止で合意 」 「 文明滅亡 」 脅しから一転,20260408T010000Z,https://www.reuters.com/resizer/v2/BYYN5RPRZ5JGRPWY2MFHM6ZYRU.jpg?auth=330550cfe7ae8289b6d6a01654cfa43fe9a9aa09e3a12fa8ed40e5911b95cdc9&quality=80&smart=true,jp.reuters.com,Japanese,United States,reuters.com
